CD Block_Code,Town/Village_Code,Name,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female
0016,042138,Ukhimath,18899,9229,9670,14208,5367,8841,213,116,97,195,132,63,4283,3614,669
0016,042054,Garuriya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042055,Ghinurpani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042056,Rambara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042057,Sarana Losan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042058,Gaurikund,147,94,53,99,48,51,2,1,1,0,0,0,46,45,1
0016,042059,Mundkatiya,22,13,9,21,12,9,0,0,0,0,0,0,1,1,0
0016,042060,Tausi,84,39,45,81,38,43,0,0,0,0,0,0,3,1,2
0016,042061,Trijuginarayan,525,263,262,445,196,249,2,0,2,1,1,0,77,66,11
0016,042062,Kongarh,86,46,40,60,23,37,0,0,0,0,0,0,26,23,3
0016,042063,Nyalsu,315,173,142,233,106,127,2,0,2,18,16,2,62,51,11
0016,042064,Sersi,116,52,64,102,42,60,1,0,1,0,0,0,13,10,3
0016,042065,Gair,37,18,19,36,17,19,0,0,0,0,0,0,1,1,0
0016,042066,Barasu,433,214,219,387,171,216,0,0,0,0,0,0,46,43,3
0016,042067,Tarsali,44,22,22,30,12,18,6,3,3,0,0,0,8,7,1
0016,042068,Jamu,319,141,178,309,132,177,0,0,0,0,0,0,10,9,1
0016,042069,Phata,51,39,12,4,2,2,0,0,0,0,0,0,47,37,10
0016,042070,Khat,131,61,70,110,44,66,5,2,3,0,0,0,16,15,1
0016,042071,Dhani,126,60,66,120,54,66,0,0,0,0,0,0,6,6,0
0016,042072,Khariya,270,117,153,243,93,150,1,0,1,0,0,0,26,24,2
0016,042073,Dharwal Gaon,10,8,2,0,0,0,0,0,0,0,0,0,10,8,2
0016,042074,Rabigram,53,31,22,21,1,20,0,0,0,0,0,0,32,30,2
0016,042075,Maikhanda,394,182,212,390,179,211,2,1,1,1,1,0,1,1,0
0016,042076,Byung,95,52,43,54,12,42,0,0,0,0,0,0,41,40,1
0016,042077,Rail,32,15,17,32,15,17,0,0,0,0,0,0,0,0,0
0016,042078,Lolchhara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042079,Jalmalla,274,133,141,186,53,133,1,0,1,4,3,1,83,77,6
0016,042080,Jaltalla,176,89,87,99,18,81,0,0,0,0,0,0,77,71,6
0016,042081,Chaumasi,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0016,042082,Chilond,177,82,95,121,28,93,0,0,0,0,0,0,56,54,2
0016,042083,Syansu,91,35,56,87,32,55,0,0,0,0,0,0,4,3,1
0016,042084,Khunnu,14,9,5,5,1,4,2,2,0,2,2,0,5,4,1
0016,042085,Kotma,298,155,143,277,135,142,0,0,0,3,2,1,18,18,0
0016,042086,Kabiltha,157,95,62,86,29,57,0,0,0,0,0,0,71,66,5
0016,042087,Kalimath,262,124,138,251,116,135,0,0,0,0,0,0,11,8,3
0016,042088,Byunkhi,179,82,97,165,72,93,0,0,0,0,0,0,14,10,4
0016,042089,Kunjethi,187,85,102,152,54,98,0,0,0,0,0,0,35,31,4
0016,042090,Thali Laga Kali Math,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042091,Jurani,42,22,20,26,8,18,1,0,1,1,1,0,14,13,1
0016,042092,Gwita,13,9,4,7,3,4,0,0,0,0,0,0,6,6,0
0016,042093,Korkhimalli,24,12,12,21,9,12,0,0,0,0,0,0,3,3,0
0016,042094,Korkhitalli,36,15,21,29,11,18,0,0,0,0,0,0,7,4,3
0016,042095,Semkwerala,16,6,10,13,3,10,0,0,0,0,0,0,3,3,0
0016,042096,Tyuri,241,106,135,165,41,124,0,0,0,0,0,0,76,65,11
0016,042097,Khumera,434,186,248,332,100,232,1,0,1,1,1,0,100,85,15
0016,042098,Barasu,90,74,16,6,3,3,0,0,0,0,0,0,84,71,13
0016,042099,Bhetsem,247,144,103,197,103,94,2,1,1,17,11,6,31,29,2
0016,042100,Hyuna,26,25,1,2,2,0,1,1,0,0,0,0,23,22,1
0016,042101,Nala,397,195,202,188,21,167,2,0,2,2,1,1,205,173,32
0016,042102,Kothera,74,31,43,55,19,36,0,0,0,2,1,1,17,11,6
0016,042103,Deosal,94,41,53,71,21,50,0,0,0,2,2,0,21,18,3
0016,042104,Rudrpur,231,93,138,209,77,132,1,0,1,0,0,0,21,16,5
0016,042105,Gadi,18,18,0,2,2,0,0,0,0,1,1,0,15,15,0
0016,042106,Guptkashi,392,258,134,105,30,75,1,0,1,2,2,0,284,226,58
0016,042107,Dewar,438,188,250,409,164,245,0,0,0,0,0,0,29,24,5
0016,042108,Sankari,417,212,205,222,74,148,18,11,7,3,1,2,174,126,48
0016,042109,Bhainsari,39,34,5,10,9,1,0,0,0,0,0,0,29,25,4
0016,042110,Asama,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1
0016,042111,Semtalli,94,48,46,45,9,36,0,0,0,1,1,0,48,38,10
0016,042112,Thaglasi,13,9,4,4,1,3,0,0,0,0,0,0,9,8,1
0016,042113,Dharsemi,20,17,3,2,0,2,0,0,0,0,0,0,18,17,1
0016,042114,Rauchak Chauki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042115,Paundar,7,6,1,7,6,1,0,0,0,0,0,0,0,0,0
0016,042116,Uniyara,284,122,162,263,108,155,0,0,0,2,1,1,19,13,6
0016,042117,Ransi Tarsali,161,80,81,150,70,80,0,0,0,0,0,0,11,10,1
0016,042118,Gaundar,132,60,72,120,51,69,0,0,0,0,0,0,12,9,3
0016,042119,Raulek,570,256,314,518,212,306,12,7,5,2,2,0,38,35,3
0016,042120,Kheti Nadla,28,21,7,27,20,7,0,0,0,0,0,0,1,1,0
0016,042121,Jaggi Bagwan,314,142,172,309,138,171,0,0,0,0,0,0,5,4,1
0016,042122,Bedulaban,100,86,14,94,82,12,0,0,0,0,0,0,6,4,2
0016,042123,Kunjalpur,25,11,14,21,8,13,0,0,0,0,0,0,4,3,1
0016,042124,Mansuna,342,173,169,262,110,152,2,2,0,3,3,0,75,58,17
0016,042125,Jugasuchak Biroli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042126,Biroli,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0016,042127,Burua,148,71,77,126,54,72,0,0,0,2,2,0,20,15,5
0016,042128,Madali,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
0016,042129,Gadagu,118,20,98,103,10,93,2,1,1,0,0,0,13,9,4
0016,042130,Gair,198,86,112,173,63,110,1,0,1,0,0,0,24,23,1
0016,042131,Basti,30,15,15,28,13,15,0,0,0,1,1,0,1,1,0
0016,042132,Giriya,243,89,154,197,51,146,0,0,0,4,4,0,42,34,8
0016,042133,Fanphaj,153,98,55,105,57,48,0,0,0,1,1,0,47,40,7
0016,042134,Saruna,46,18,28,32,7,25,0,0,0,0,0,0,14,11,3
0016,042135,Pali,55,47,8,41,34,7,1,1,0,0,0,0,13,12,1
0016,042136,Chunni,132,62,70,78,12,66,0,0,0,0,0,0,54,50,4
0016,042137,Mangoli,95,41,54,62,11,51,0,0,0,0,0,0,33,30,3
0016,042138,Ukhimath,684,393,291,271,68,203,5,5,0,19,15,4,389,305,84
0016,042139,Dilmi,34,14,20,21,1,20,0,0,0,0,0,0,13,13,0
0016,042140,Sari,133,22,111,102,1,101,0,0,0,0,0,0,31,21,10
0016,042141,Daira,164,83,81,116,39,77,1,1,0,0,0,0,47,43,4
0016,042142,Barangali,85,37,48,52,5,47,0,0,0,0,0,0,33,32,1
0016,042143,Karokhi,322,133,189,291,104,187,1,0,1,0,0,0,30,29,1
0016,042144,Kantha,17,6,11,14,3,11,0,0,0,1,1,0,2,2,0
0016,042145,Painj,124,41,83,113,34,79,2,1,1,0,0,0,9,6,3
0016,042146,Bhatwari,226,117,109,140,58,82,0,0,0,4,1,3,82,58,24
0016,042147,Sansari,99,71,28,38,10,28,0,0,0,2,2,0,59,59,0
0016,042148,Kimana,197,92,105,168,63,105,0,0,0,0,0,0,29,29,0
0016,042149,Raudu,28,11,17,20,3,17,0,0,0,0,0,0,8,8,0
0016,042150,Gundagwar,10,4,6,9,3,6,0,0,0,0,0,0,1,1,0
0016,042151,Kanda,73,21,52,67,18,49,1,0,1,0,0,0,5,3,2
0016,042152,Huddu,75,71,4,33,33,0,0,0,0,0,0,0,42,38,4
0016,042153,Ushara,193,93,100,169,74,95,0,0,0,1,1,0,23,18,5
0016,042154,Bhankund,8,5,3,8,5,3,0,0,0,0,0,0,0,0,0
0016,042155,Pothiwasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042156,Tungnath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042157,Chopta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042158,Baniyakund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042159,Dogalbhita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042160,Gujargwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042161,Dilangwar,4,0,4,3,0,3,0,0,0,0,0,0,1,0,1
0016,042162,Makku,295,139,156,231,85,146,0,0,0,5,5,0,59,49,10
0016,042163,Silgoth,5,2,3,3,1,2,0,0,0,0,0,0,2,1,1
0016,042164,Semar,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0016,042165,Dungar semala,238,107,131,213,85,128,1,1,0,0,0,0,24,21,3
0016,042166,Pathali,40,33,7,0,0,0,0,0,0,0,0,0,40,33,7
0016,042167,Kundaliya,10,8,2,0,0,0,0,0,0,0,0,0,10,8,2
0016,042168,Garwali,26,19,7,3,0,3,0,0,0,0,0,0,23,19,4
0016,042169,Chinagwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016,042170,Bhingi,126,57,69,87,29,58,0,0,0,0,0,0,39,28,11
0016,042171,Lakshman Gwar,15,7,8,11,4,7,0,0,0,0,0,0,4,3,1
0016,042172,Tankila,49,19,30,37,10,27,2,1,1,0,0,0,10,8,2
0016,042173,Parkandi,871,372,499,725,245,480,15,11,4,9,8,1,122,108,14
0016,042174,Giwari Gaon,105,85,20,19,0,19,0,0,0,0,0,0,86,85,1
0016,042175,Kyark,8,7,1,0,0,0,0,0,0,0,0,0,8,7,1
0016,042176,Kuher,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2
0016,042177,Pailing,48,28,20,36,20,16,0,0,0,0,0,0,12,8,4
0016,042178,Uthind,23,18,5,4,2,2,0,0,0,1,1,0,18,15,3
0016,042179,Kail,4,3,1,1,1,0,0,0,0,2,1,1,1,1,0
0016,042180,Jagpura,11,8,3,0,0,0,0,0,0,0,0,0,11,8,3
0016,042181,Paw,8,6,2,0,0,0,0,0,0,0,0,0,8,6,2
0016,042182,Kirmoriya,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
0016,042183,Jamalok ,30,12,18,30,12,18,0,0,0,0,0,0,0,0,0
0016,042184,Khal,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0
0016,042185,Lwara,435,182,253,274,102,172,79,35,44,14,11,3,68,34,34
0016,042186,Dewagana,96,54,42,8,7,1,2,0,2,55,19,36,31,28,3
0016,042187,Salya,209,99,110,167,64,103,1,1,0,1,1,0,40,33,7
0016,042188,Khera,106,46,60,70,11,59,23,22,1,0,0,0,13,13,0
0016,042189,Tulanga,457,197,260,397,145,252,5,2,3,0,0,0,55,50,5
0016,042190,Chaundi,35,18,17,32,15,17,1,1,0,1,1,0,1,1,0
0016,042191,Lwani,67,61,6,57,51,6,0,0,0,0,0,0,10,10,0
0016,042192,Andrawahi,77,31,46,50,11,39,0,0,0,0,0,0,27,20,7
0016,042193,Singoli,79,40,39,51,14,37,0,0,0,0,0,0,28,26,2
0016,042194,Namoli,16,6,10,14,4,10,0,0,0,0,0,0,2,2,0
0016,042195,Akardhar,8,4,4,6,2,4,0,0,0,0,0,0,2,2,0
0016,042196,Lamgondi,565,273,292,452,170,282,0,0,0,4,4,0,109,99,10
0016,042197,Phali Phasalat,138,64,74,82,10,72,0,0,0,0,0,0,56,54,2
0016,042198,Dewali Bhanigram,523,224,299,465,180,285,1,0,1,0,0,0,57,44,13
0017,000000,Augustmuni,30828,14494,16334,21346,7270,14076,934,384,550,906,564,342,7642,6276,1366
0017,000000,Augustmuni,30828,14494,16334,21346,7270,14076,934,384,550,906,564,342,7642,6276,1366
0017,000000,Augustmuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017,042199,Patiyaun,5,5,0,1,1,0,0,0,0,0,0,0,4,4,0
0017,042200,Bareth,141,49,92,103,14,89,2,0,2,0,0,0,36,35,1
0017,042201,Jaula,176,66,110,171,64,107,3,1,2,1,0,1,1,1,0
0017,042202,Tal Jamana,277,136,141,41,12,29,125,33,92,64,54,10,47,37,10
0017,042203,Paula Kundalia,50,13,37,46,9,37,0,0,0,1,1,0,3,3,0
0017,042204,Himola,8,2,6,6,0,6,0,0,0,0,0,0,2,2,0
0017,042205,Brambari,209,84,125,197,73,124,0,0,0,6,6,0,6,5,1
0017,042206,Temariapalla,4,4,0,0,0,0,0,0,0,1,1,0,3,3,0
0017,042207,Tat Laga Phegu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017,042208,Phegu,473,205,268,439,180,259,6,2,4,6,4,2,22,19,3
0017,042209,Nag Jagayi,312,113,199,233,47,186,1,0,1,1,1,0,77,65,12
0017,042210,Tinsoli,90,48,42,36,12,24,9,2,7,22,16,6,23,18,5
0017,042211,Bhatwari,67,32,35,47,22,25,12,4,8,2,1,1,6,5,1
0017,042212,Dungar,94,43,51,71,22,49,0,0,0,0,0,0,23,21,2
0017,042213,Ghatbagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017,042214,Basti,371,176,195,198,28,170,7,2,5,29,14,15,137,132,5
0017,042215,Damar,297,144,153,243,98,145,0,0,0,21,18,3,33,28,5
0017,042216,Temariyawala,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0017,042217,Jalai Sursal,485,180,305,400,106,294,1,0,1,3,2,1,81,72,9
0017,042218,Auring,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0
0017,042219,Bhiri,176,161,15,10,8,2,13,12,1,4,4,0,149,137,12
0017,042220,Nagarsal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017,042221,Birondewal,271,121,150,253,107,146,1,0,1,1,1,0,16,13,3
0017,042222,Gair,66,23,43,51,10,41,0,0,0,0,0,0,15,13,2
0017,042223,Kandara,430,186,244,246,85,161,34,18,16,72,30,42,78,53,25
0017,042224,Raigu,16,6,10,10,3,7,0,0,0,2,2,0,4,1,3
0017,042225,Kanyas,43,9,34,42,8,34,0,0,0,0,0,0,1,1,0
0017,042226,Daula,115,40,75,98,27,71,0,0,0,2,2,0,15,11,4
0017,042227,Jaikhanda,70,29,41,63,24,39,0,0,0,0,0,0,7,5,2
0017,042228,Akhauri,204,85,119,143,32,111,1,1,0,4,3,1,56,49,7
0017,042229,Sena garhsari,62,46,16,58,43,15,0,0,0,0,0,0,4,3,1
0017,042230,Balsundi,64,34,30,60,30,30,0,0,0,0,0,0,4,4,0
0017,042231,Karnsili,140,50,90,117,31,86,0,0,0,0,0,0,23,19,4
0017,042232,Kyunja,483,199,284,449,177,272,3,3,0,7,7,0,24,12,12
0017,042233,Ajaipur,32,13,19,32,13,19,0,0,0,0,0,0,0,0,0
0017,042234,Asondadian,96,42,54,96,42,54,0,0,0,0,0,0,0,0,0
0017,042235,Sera,53,26,27,53,26,27,0,0,0,0,0,0,0,0,0
0017,042236,Kunjethi,18,7,11,13,2,11,0,0,0,0,0,0,5,5,0
0017,042237,Jaykandi,148,56,92,137,47,90,0,0,0,0,0,0,11,9,2
0017,042238,Mundasu,23,9,14,22,9,13,0,0,0,0,0,0,1,0,1
0017,042239,Sena Chak Chhara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017,042240,Bhanaj Gwar,163,159,4,133,133,0,0,0,0,0,0,0,30,26,4
0017,042241,Machkandi,69,46,23,48,35,13,6,3,3,6,3,3,9,5,4
0017,042242,Jawari,22,10,12,17,6,11,0,0,0,0,0,0,5,4,1
0017,042243,Kandi,370,187,183,363,183,180,0,0,0,0,0,0,7,4,3
0017,042244,Tewri,154,62,92,143,52,91,0,0,0,0,0,0,11,10,1
0017,042245,Kalai,52,18,34,49,16,33,1,0,1,1,1,0,1,1,0
0017,042246,Kontha,166,51,115,166,51,115,0,0,0,0,0,0,0,0,0
0017,042247,Kera Malla,98,93,5,79,77,2,0,0,0,0,0,0,19,16,3
0017,042248,Kera Talla,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0017,042249,Dungri,136,50,86,3,1,2,122,40,82,0,0,0,11,9,2
0017,042250,Moli,56,20,36,56,20,36,0,0,0,0,0,0,0,0,0
0017,042251,Baraw Talla,10,9,1,0,0,0,0,0,0,0,0,0,10,9,1
0017,042252,Baraw Bichalla,8,7,1,0,0,0,0,0,0,0,0,0,8,7,1
0017,042253,Baraw Malla,100,78,22,92,72,20,1,0,1,0,0,0,7,6,1
0017,042254,Kinjani,421,162,259,365,117,248,0,0,0,0,0,0,56,45,11
0017,042255,Kyark Barsuri,413,161,252,357,115,242,6,5,1,5,3,2,45,38,7
0017,042256,Naini Pondar,147,65,82,112,35,77,1,1,0,2,1,1,32,28,4
0017,042257,Sangur,63,23,40,56,18,38,0,0,0,1,1,0,6,4,2
0017,042258,Pali,173,74,99,167,71,96,1,0,1,0,0,0,5,3,2
0017,042259,Ryasun,87,35,52,78,30,48,0,0,0,1,1,0,8,4,4
0017,042260,Dalsingi,340,147,193,295,110,185,2,0,2,0,0,0,43,37,6
0017,042261,Korl(Kaushalpur),14,10,4,5,3,2,0,0,0,1,1,0,8,6,2
0017,042262,Kund,109,57,52,71,22,49,0,0,0,0,0,0,38,35,3
0017,042263,Chandrapuri,14,13,1,0,0,0,0,0,0,0,0,0,14,13,1
0017,042264,Gawni Chak Bachwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017,042265,Matkhani,23,6,17,22,5,17,0,0,0,0,0,0,1,1,0
0017,042266,Duwarkhu,22,10,12,15,5,10,0,0,0,0,0,0,7,5,2
0017,042267,Bhatwari Sunar,172,77,95,112,28,84,2,1,1,2,2,0,56,46,10
0017,042268,Naili,132,60,72,75,17,58,7,2,5,4,4,0,46,37,9
